STRUCTURE,STRUCTURE_ID,freq,unit,wstatus,isco08,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2011,68.23,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2012,68.76,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2013,69.63,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2014,71.89,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2015,72.11,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2016,70.39,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2017,67.75,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2018,65.58,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2019,63.99,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2020,61.84,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2021,60.90,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IS,2004,82.48,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IS,2005,81.79,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IS,2006,80.97,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IS,2007,79.42,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IS,2008,75.88,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IS,2009,74.40,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IS,2010,72.12,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IS,2011,70.55,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IS,2012,69.75,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IS,2013,68.33,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IS,2014,67.27,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IS,2015,66.28,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IS,2016,66.11,b
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IS,2017,65.86,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IS,2018,65.63,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IS,2019,65.01,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IS,2020,64.28,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2000,182.48,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2001,180.79,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2002,178.68,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2003,176.36,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2004,173.96,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2005,172.63,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2006,165.65,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2007,164.86,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2008,161.46,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2009,158.42,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2010,158.11,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2011,150.85,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2012,147.49,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2013,145.39,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2014,145.05,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2015,141.76,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2016,139.93,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2017,136.05,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2018,133.73,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2019,132.86,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2020,130.86,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IT,2021,130.21,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1980,1159.64,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1981,987.40,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1982,972.41,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1983,944.50,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1984,805.94,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1985,839.94,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1986,680.94,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1987,787.33,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1988,873.36,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1989,1011.30,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1990,845.35,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1991,973.63,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1992,1058.11,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1993,970.61,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1994,896.16,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1995,932.61,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1996,969.78,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1997,844.09,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1998,791.69,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,1999,870.82,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2000,725.43,b
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2001,626.30,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2002,526.47,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2003,516.34,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2004,583.85,
