STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,wstatus,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,FI,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,FR,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,HR,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,HU,2011,64.1,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,IE,2011,32.1,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,IS,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,IT,2011,33.8,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,LT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,LU,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,LV,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,MT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,NL,2011,24.4,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,PL,2011,30,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,PT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,RO,2011,57.3,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,SE,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,SI,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,SK,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,TR,2011,64.1,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,UK,2011,37.2,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,AT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,BE,2011,28.2,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,BG,2011,,u
