STRUCTURE,STRUCTURE_ID,freq,unit,barrier,wstatus,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,UK,2012,197.0,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,AT,2012,28.7,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,BE,2012,55.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,BG,2012,17.0,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,CY,2012,1.0,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,CZ,2012,,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,DE,2012,162.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,DK,2012,29.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,EE,2012,3.5,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,EEA,2012,1180.9,e
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,EL,2012,1.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,ES,2012,94.0,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,EU27_2007,2012,1156.7,e
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,FI,2012,15.5,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,FR,2012,103.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,HU,2012,36.1,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,IS,2012,2.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,IT,2012,73.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,LT,2012,16.9,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,LU,2012,0.8,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,LV,2012,7.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,MT,2012,0.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,NL,2012,74.2,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,NO,2012,21.9,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,PL,2012,151.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,PT,2012,18.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,RO,2012,41.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,SE,2012,27.4,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,SI,2012,4.9,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,SK,2012,15.1,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,M,UK,2012,168.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,AT,2012,83.7,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,BE,2012,138.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,BG,2012,30.3,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,CY,2012,7.1,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,CZ,2012,,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,DE,2012,593.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,DK,2012,72.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,EE,2012,14.2,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,EEA,2012,3842.6,e
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,EL,2012,107.5,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,ES,2012,459.6,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,EU27_2007,2012,3781.3,e
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,FI,2012,30.0,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,FR,2012,361.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,HU,2012,96.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,IS,2012,5.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,IT,2012,423.2,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,LT,2012,36.1,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,LU,2012,5.4,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,LV,2012,19.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,MT,2012,9.2,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,NL,2012,190.6,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,NO,2012,55.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,PL,2012,385.7,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,PT,2012,66.6,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,RO,2012,130.9,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,SE,2012,69.8,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,SI,2012,10.3,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,SK,2012,36.1,u
