STRUCTURE,STRUCTURE_ID,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EL,2017,77.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EL,2018,78.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EL,2019,78.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EL,2020,79.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EL,2021,80.3,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,ES,2004,74.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,ES,2005,75.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,ES,2006,75.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,ES,2007,74.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,ES,2008,75.3,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,ES,2009,73.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,ES,2010,74.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,ES,2011,76.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,ES,2012,76.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,ES,2013,74.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,ES,2014,75.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,ES,2015,74.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,ES,2016,77.0,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,ES,2017,81.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,ES,2018,78.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,ES,2019,81.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,ES,2020,77.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,ES,2021,72.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU27_2020,2004,78.2,e
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU27_2020,2005,75.6,e
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU27_2020,2006,75.7,e
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU27_2020,2007,75.5,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU27_2020,2008,74.7,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU27_2020,2009,74.3,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU27_2020,2010,75.0,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU27_2020,2011,74.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU27_2020,2012,74.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU27_2020,2013,73.3,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU27_2020,2014,73.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU27_2020,2015,75.9,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU27_2020,2016,76.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU27_2020,2017,76.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU27_2020,2018,76.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU27_2020,2019,77.5,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU27_2020,2020,77.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU27_2020,2021,77.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU28,2004,78.2,e
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU28,2005,76.2,e
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU28,2006,76.1,e
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU28,2007,76.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU28,2008,75.5,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU28,2009,75.0,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU28,2010,75.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU28,2011,74.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU28,2012,74.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU28,2013,73.8,
