STRUCTURE,STRUCTURE_ID,freq,age,sex,icd10,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED0-2,SI,2008,38.2,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED0-2,SK,2008,40.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED0-2,TR,2008,11.6,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED3_4,AT,2008,15.3,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED3_4,BE,2008,18.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED3_4,BG,2008,20.2,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED3_4,CY,2008,8.5,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED3_4,CZ,2008,19.4,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED3_4,DE,2008,22.4,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED3_4,EL,2008,7.8,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED3_4,ES,2008,7.1,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED3_4,HU,2008,25.8,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED3_4,LV,2008,22.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED3_4,MT,2008,7.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED3_4,PL,2008,21,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED3_4,RO,2008,12.5,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED3_4,SI,2008,15.4,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED3_4,SK,2008,24.4,
