STRUCTURE,STRUCTURE_ID,freq,icd10,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J62,I13,EU_V,2020,84.1,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J92,I13,EU_V,2013,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J92,I13,EU_V,2014,82.5,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J92,I13,EU_V,2015,99.1,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J92,I13,EU_V,2016,85.7,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J92,I13,EU_V,2017,76.7,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J92,I13,EU_V,2018,64.5,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J92,I13,EU_V,2019,82.2,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J92,I13,EU_V,2020,53.9,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L23,I13,EU_V,2013,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L23,I13,EU_V,2014,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L23,I13,EU_V,2015,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L23,I13,EU_V,2016,97.3,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L23,I13,EU_V,2017,96.4,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L23,I13,EU_V,2018,81.7,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L23,I13,EU_V,2019,80.6,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L23,I13,EU_V,2020,57.7,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L23_L24,I13,EU_V,2013,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L23_L24,I13,EU_V,2014,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L23_L24,I13,EU_V,2015,98.1,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L23_L24,I13,EU_V,2016,101.7,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L23_L24,I13,EU_V,2017,101.1,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L23_L24,I13,EU_V,2018,98.4,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L23_L24,I13,EU_V,2019,77.8,
