STRUCTURE,STRUCTURE_ID,freq,unit,age,duration,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,PL,2013,0.1,u
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,PL,2020,0.1,u
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,PT,2007,0.4,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,PT,2013,0.4,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,PT,2020,0.2,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,RO,2007,1.1,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,RO,2013,0.6,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,RO,2020,0.2,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,SE,2007,0.7,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,SE,2013,0.5,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,SE,2020,0.5,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,SI,2007,0.4,du
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,SI,2013,0.2,u
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,SI,2020,,u
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,SK,2007,0.5,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,SK,2013,0.5,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,SK,2020,0.2,u
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,TR,2013,0.4,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,UK,2007,0.9,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D1-3,UK,2013,0.4,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,AT,2007,2.9,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,AT,2013,2.6,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,AT,2020,1.9,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,BE,2007,1.7,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,BE,2013,1.2,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,BE,2020,1.2,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,BG,2007,0.3,u
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,BG,2013,0.2,u
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,BG,2020,0.3,u
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,CH,2013,2.3,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,CH,2020,2.5,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,CY,2007,1.2,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,CY,2013,0.9,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,CY,2020,0.7,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,CZ,2007,1.9,d
