STRUCTURE,STRUCTURE_ID,freq,unit,marsta,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,LU,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,LV,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,MT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,NL,2011,4.917,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,PL,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,PT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,RO,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,SE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,SI,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,SK,2011,3.005,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,TR,2011,27.614,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,UK,2011,38.653,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,M,AT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,M,BE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,M,BG,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,M,CH,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,M,CY,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,M,CZ,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,M,DE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,M,DK,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,M,EE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,M,EL,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,M,ES,2011,4.446,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,M,FI,2011,2.183,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,M,FR,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,M,HR,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,M,HU,2011,,u
