STRUCTURE,STRUCTURE_ID,freq,unit,assist,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,HU,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,IE,2011,2.912,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,IT,2011,22.318,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,LT,2011,4.507,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,LV,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,MT,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,NL,2011,18.49,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,PL,2011,38.098,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,PT,2011,14.421,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,RO,2011,14.207,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,SE,2011,11.925,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,SI,2011,1.974,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,SK,2011,3.38,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,TR,2011,127.508,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,UK,2011,61.792,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,AT,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,BE,2011,16.311,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,BG,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,CH,2011,6.701,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,CY,2011,1.366,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,CZ,2011,8.342,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,DE,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,DK,2011,8.098,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,EE,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,EL,2011,4.904,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,ES,2011,21.281,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,EU28,2011,389.374,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,FI,2011,5.364,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,FR,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,HR,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,HU,2011,4.656,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,IE,2011,4.446,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,IS,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,IT,2011,24.327,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,LT,2011,5.714,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,LV,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,MT,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,NL,2011,17.473,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,PL,2011,43.252,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,PT,2011,12.453,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,RO,2011,20.533,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,SE,2011,11.516,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,SI,2011,2.141,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,SK,2011,6.625,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,TR,2011,114.984,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,M,UK,2011,88.033,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,AT,2011,6.081,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,BE,2011,22.829,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,BG,2011,7.995,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,CH,2011,19.675,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,CY,2011,1.824,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,CZ,2011,16.657,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,DE,2011,66.804,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,DK,2011,16.682,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,EE,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,EL,2011,8.276,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,ES,2011,43.545,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,EU28,2011,713.761,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,FI,2011,12.264,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,FR,2011,63.792,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,HR,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,HU,2011,7.07,
