STRUCTURE,STRUCTURE_ID,freq,frequenc,sex,age,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,ED3_4,CZ,2008,3.7,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,ED3_4,ES,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,ED3_4,HU,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,ED3_4,LV,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,ED3_4,RO,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,ED3_4,SK,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,ED5_6,BE,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,ED5_6,CY,2008,1.0,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,ED5_6,ES,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,TOTAL,BE,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,TOTAL,BG,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,TOTAL,CY,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,TOTAL,CZ,2008,3.0,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,TOTAL,EL,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,TOTAL,ES,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,TOTAL,HU,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,TOTAL,LV,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,TOTAL,RO,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,TOTAL,SI,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,TOTAL,SK,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED0-2,BE,2008,3.7,u
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED0-2,EL,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED0-2,ES,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED0-2,HU,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED0-2,LV,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED0-2,MT,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED0-2,RO,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED3_4,BG,2008,1.0,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED3_4,CY,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED3_4,CZ,2008,5.6,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED3_4,EL,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED3_4,ES,2008,1.0,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED3_4,LV,2008,2.6,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED3_4,MT,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED3_4,RO,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED3_4,SK,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED5_6,BE,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED5_6,BG,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED5_6,EL,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED5_6,ES,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,ED5_6,RO,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,TOTAL,BE,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,TOTAL,BG,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,TOTAL,CY,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,TOTAL,CZ,2008,4.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,TOTAL,EL,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,TOTAL,ES,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,TOTAL,HU,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,TOTAL,LV,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,TOTAL,MT,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,TOTAL,RO,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y45-54,TOTAL,SK,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y55-64,ED0-2,BE,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y55-64,ED0-2,BG,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y55-64,ED0-2,EL,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y55-64,ED0-2,ES,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y55-64,ED0-2,HU,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y55-64,ED0-2,LV,2008,3.9,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y55-64,ED0-2,MT,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y55-64,ED0-2,RO,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y55-64,ED0-2,SI,2008,5.6,u
