STRUCTURE,STRUCTURE_ID,freq,unit,severity,sizeclas,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A_D-K,EU15_NO,2001,491010,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A_D-K,EU15_NO,2002,482162,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A_D-K,EU15_NO,2003,484776,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A_D-K,EU15_NO,2004,479835,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A_D-K,EU15_NO,2005,652597,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A_D-K,EU15_NO,2006,602272,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A_D-K,EU15_NO,2007,595494,p
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,D,EU15_NO,1996,116541,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,D,EU15_NO,1997,115579,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,D,EU15_NO,1998,120579,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,D,EU15_NO,1999,116452,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,D,EU15_NO,2000,117463,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,D,EU15_NO,2001,113067,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,D,EU15_NO,2002,103364,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,D,EU15_NO,2003,103056,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,D,EU15_NO,2004,100922,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,D,EU15_NO,2005,129373,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,D,EU15_NO,2006,117619,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,D,EU15_NO,2007,118341,p
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,E,EU15_NO,1996,735,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,E,EU15_NO,1997,1014,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,E,EU15_NO,1998,1111,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,E,EU15_NO,1999,941,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,E,EU15_NO,2000,1287,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,E,EU15_NO,2001,1150,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,E,EU15_NO,2002,912,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,E,EU15_NO,2003,1036,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,E,EU15_NO,2004,1117,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,E,EU15_NO,2005,1900,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,E,EU15_NO,2006,1659,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,E,EU15_NO,2007,1682,p
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,F,EU15_NO,1996,136208,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,F,EU15_NO,1997,138643,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,F,EU15_NO,1998,146684,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,F,EU15_NO,1999,153105,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,F,EU15_NO,2000,161398,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,F,EU15_NO,2001,161578,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,F,EU15_NO,2002,161192,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,F,EU15_NO,2003,166256,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,F,EU15_NO,2004,165261,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,F,EU15_NO,2005,233215,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,F,EU15_NO,2006,223033,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,F,EU15_NO,2007,222408,p
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,G,EU15_NO,1996,83171,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,G,EU15_NO,1997,82738,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,G,EU15_NO,1998,87569,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,G,EU15_NO,1999,88104,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,G,EU15_NO,2000,89636,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,G,EU15_NO,2001,88461,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,G,EU15_NO,2002,89166,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,G,EU15_NO,2003,86710,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,G,EU15_NO,2004,84870,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,G,EU15_NO,2005,113973,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,G,EU15_NO,2006,106535,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,G,EU15_NO,2007,104380,p
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,H,EU15_NO,1996,32335,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,H,EU15_NO,1997,32422,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,H,EU15_NO,1998,34609,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,H,EU15_NO,1999,35284,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,H,EU15_NO,2000,36858,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,H,EU15_NO,2001,35934,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,H,EU15_NO,2002,35851,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,H,EU15_NO,2003,36541,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,H,EU15_NO,2004,38692,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,H,EU15_NO,2005,61098,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,H,EU15_NO,2006,61034,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,H,EU15_NO,2007,59200,p
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,I,EU15_NO,1996,24063,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,I,EU15_NO,1997,25691,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,I,EU15_NO,1998,28402,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,I,EU15_NO,1999,29503,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,I,EU15_NO,2000,29647,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,I,EU15_NO,2001,29302,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,I,EU15_NO,2002,29085,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,I,EU15_NO,2003,28620,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,I,EU15_NO,2004,29037,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,I,EU15_NO,2005,42470,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,I,EU15_NO,2006,43528,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,I,EU15_NO,2007,41055,p
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,J_K,EU15_NO,1996,19662,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,J_K,EU15_NO,1997,20851,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,J_K,EU15_NO,1998,23450,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,J_K,EU15_NO,1999,25826,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,J_K,EU15_NO,2000,27692,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,J_K,EU15_NO,2001,29025,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,J_K,EU15_NO,2002,28984,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,J_K,EU15_NO,2003,28942,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,J_K,EU15_NO,2004,25537,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,J_K,EU15_NO,2005,36286,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,J_K,EU15_NO,2006,36195,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,J_K,EU15_NO,2007,37155,p
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,TOTAL,EU15_NO,1996,487583,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,TOTAL,EU15_NO,1997,495132,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,TOTAL,EU15_NO,1998,524250,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,TOTAL,EU15_NO,1999,531649,
