STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,yes_no,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,SE,2011,37.241,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,SI,2011,3.971,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,SK,2011,4.236,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,TR,2011,85.194,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,UK,2011,120.376,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,M,AT,2011,40.796,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,M,BE,2011,21.598,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,M,BG,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,M,CH,2011,24.402,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,M,CY,2011,1.127,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,M,CZ,2011,7.171,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,M,DE,2011,116.861,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,M,DK,2011,17.777,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,M,EE,2011,3.213,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,M,EL,2011,4.289,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,M,ES,2011,42.862,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,M,EU28,2011,796.411,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,M,FI,2011,20.97,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,M,FR,2011,210.29,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,M,HR,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,M,HU,2011,6.766,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,M,IE,2011,1.928,
