STRUCTURE,STRUCTURE_ID,freq,unit,severity,injury,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ050,EU15_NO,1998,6142,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ050,EU15_NO,1999,6053,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ050,EU15_NO,2000,5261,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ050,EU15_NO,2001,4936,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ050,EU15_NO,2002,4861,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ050,EU15_NO,2003,5229,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ050,EU15_NO,2004,5856,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ050,EU15_NO,2005,5749,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ050,EU15_NO,2006,5485,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ050,EU15_NO,2007,5238,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ051,EU15_NO,1997,725,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ051,EU15_NO,1998,905,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ051,EU15_NO,1999,1090,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ051,EU15_NO,2000,1022,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ051,EU15_NO,2001,1074,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ051,EU15_NO,2002,5,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ051,EU15_NO,2003,496,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ051,EU15_NO,2004,543,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ051,EU15_NO,2005,555,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ051,EU15_NO,2006,580,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ051,EU15_NO,2007,1099,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ052,EU15_NO,1997,25,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ052,EU15_NO,1998,31,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ052,EU15_NO,1999,33,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ052,EU15_NO,2000,41,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ052,EU15_NO,2001,29,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ052,EU15_NO,2002,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ052,EU15_NO,2003,1746,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ052,EU15_NO,2004,2922,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ052,EU15_NO,2005,3018,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ052,EU15_NO,2006,3472,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ052,EU15_NO,2007,11335,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ059,EU15_NO,1997,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ059,EU15_NO,1998,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ059,EU15_NO,1999,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ059,EU15_NO,2000,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ059,EU15_NO,2001,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ059,EU15_NO,2002,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ059,EU15_NO,2003,627,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ059,EU15_NO,2004,685,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ059,EU15_NO,2005,673,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ059,EU15_NO,2006,691,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ059,EU15_NO,2007,2870,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ060,EU15_NO,1997,9345,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ060,EU15_NO,1998,9266,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ060,EU15_NO,1999,8701,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ060,EU15_NO,2000,6521,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ060,EU15_NO,2001,5196,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ060,EU15_NO,2002,3139,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ060,EU15_NO,2003,1499,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ060,EU15_NO,2004,1683,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ060,EU15_NO,2005,1305,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ060,EU15_NO,2006,1064,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ060,EU15_NO,2007,1368,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ061,EU15_NO,1997,139,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ061,EU15_NO,1998,151,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ061,EU15_NO,1999,196,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ061,EU15_NO,2000,2770,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ061,EU15_NO,2001,2662,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ061,EU15_NO,2002,2513,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ061,EU15_NO,2003,3343,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ061,EU15_NO,2004,3310,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ061,EU15_NO,2005,3332,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ061,EU15_NO,2006,3301,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ061,EU15_NO,2007,4953,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ062,EU15_NO,1997,54,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ062,EU15_NO,1998,47,
